Title: Population Health Management: Patient - Doctor Mismatch and How to Fix
URL: https://www.youtube.com/watch?v=EGZ1eXCInYQ
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and welcome to A Healthcare Z. Today we're going to be discussing population health matching. And so this is a fairly complicated topic. And actually many of you have asked for more sort of sophisticated videos that are maybe even longer informed. Well, I'm very humbly honored that you have asked me for that. So this is going to fall into that category. So this is, this talk is not for the faint of heart. All right. So what we have here is a series of diagrams. And so this first diagram is a bell-shaped curve with on the y-axis we have the number of employees or plan members. And on the x-axis we have the complexity of their healthcare situation. So on the far side, it might be something as, you know, somebody who is otherwise healthy and just needs an annual flu shot to somebody in the middle that might have a chronic condition like, let's say, well-controlled diabetes or hypertension, and then all the way over to the most complex side where you would have somebody like with a complex cancer diagnosis or complex spine or joint replacement, maybe complex aortic valve replacement, et cetera. All right. Now, because an employee population typically falls along a normal or a bell-shaped curve distribution, what I have superimposed here is a line representing the healthcare costs associated with the plan members along that complexity. In other words, as you come further to this side, the more complex patients drive higher healthcare costs, right? And again, if you go one standard deviation to the side, you're going to end up with about 17% of the employees that are in that tail, right? 17% is pretty close to 20%, right? So again, it's close to that 80-20 rule where 80% of the claims are generated by 20% of the employees. Okay. So it's important to know that across your employee population, you're going to have this normal distribution of complexity of your plan members. Okay. Now we have another bell-shaped curve here. And here we have number of healthcare providers on the y-axis, and that could be the doctor, the nurses, the hospital staff, et cetera. So oftentimes in caring for patients, it's not just quote, unquote, the doctor that impacts their care. It's sort of the entire care team. So you can think of that as like the entire care team on the y-axis. And on the x-axis, we have skill. And guess what? There is a normal bell-shaped curve distribution of skill among healthcare professionals as well. And like systemic skill, like within the hospital system. Okay. Like as much as of course, we physicians would like to think that we're all over on this side. The fact of the matter is, is that there's a range, right? And that range is a bell-shaped curve. All right. Now what I've done here is I've basically taken these two charts and I've put them into smaller form to show that in an ideal world for population health, what you want is essentially a matching exercise where you have the least complex patients that are going to the physicians that have, and the facilities that have sort of lower skill sets. And that's totally fine, right? Because you don't need to, you don't need quote, unquote, overkill for, you know, let's say flu shot or what have you, right? Likewise for medium and likewise at the very high end for your most complex patients, again, complex metastatic cancer, complex spine surgery, et cetera. You would want them willing to go to like the best people who like really know what they're doing. And of course, this is in the ideal world where you would want to be able to want, identify where exactly where everybody is on the bell-shaped curve, and then identify where all the docs and the hospitals and all the different healthcare providers are on this bell-shaped curve. And then you would want to perfectly match them up. Okay. Well, of course, in the real world, that is not where, how it happens. And so here in this miniature version of these charts, this is more a description of what the real world is like, where we will have plan members that have very low complexity going to very highly skilled physicians. And that might actually be problematic because those healthcare systems and physicians, they might actually do too much for them. And so that's the sort of classic problem of the, of the executive physical that does the entire body CT scan that finds an incidental nodule on a CT scan. And then they have, you know, chest surgery for something that really didn't need to be found or operated on in the first place. So that's a whole other can of worms. But the point is, is that there, there are some detriments for that type of situation. Now, even more detrimental to the plan is when you have an incredibly complex plan member who goes to a lower skilled hospital system, physician, care team, et cetera. And so, and just know that if you don't do anything that by, by law, by the law of numbers, that is going to happen. And that is going to impact the quality of care and the outcomes for your plan members. And that's going to actually dramatically increase your costs. Let me give you a specific example. So we had a plan member for a municipality in Florida who was about a 20 year old woman and her father was the employee on the plan. And she had a condition called a gastroparesis where her stomach would not empty appropriately. It's actually very painful. It causes a lot of nausea, vomiting, weight loss. And she was actually under the care of a gastroenterologist, but she still was going to the ER many times. She was having multiple admissions. She was in junior college and had a part-time job and actually had to drop out of both of those. And so we actually then matched her up with a center that actually specialized in gastroparesis. And they had a multi-disciplinary team. It was in a city that actually was about four or five hours away. It was at a tertiary referral center, another sort of hospital. But the point is she had never made her way there before. And by matching her up with that whole entire care team that had psychologists, psychiatrists, pain management physicians, gastroenterologists, they took her from close to 20 medications down to two. And her symptoms dramatically improved. It was done through an outpatient three-week intensive program. They actually stayed up there for the entire three weeks. And it literally like changed her life. And her symptoms dramatically improved. She was able to go back to college and her father reported back to us. And it like changed their entire family. Because obviously if you have a, you know, young adult who's that ill, it really impacts the entire family, including the employee, of course. And of course, that employer wants the best for his health plan members. And at the end of the day, that ends up being much more cost effective than just continuing on with the status quo. Okay. So that's how it happens at the individual level. But what can an employer as a group do to putting the strategies in place to make that population health matching occur? And so they involve one, primary care, right? Because you want to be able to identify and particularly place where people are in this continuum of complexity. And just being able to identify that with primary care is a great way to do that. It's actually the way most of the world does this, right? So this is where almost every other country's healthcare system is actually very highly primary care based. And it's actually the sort of secret weapon to their higher quality and lower cost care is their greater use of primary care versus our lesser use of primary care. So that's number one. Number two is COE, which is centers of excellence. That is to say, hey, look, for those 17 percenters that are very complex, we absolutely need to get them to the most highly skilled physicians. And then lastly, okay, you actually have to get them there, right? You actually have to have behavior change. So you have to go to that BJ Fogg model of behavior change. Of where behavior modification is a function of the motivation, the ability, and the trigger. And I would encourage you to watch my behavior modification video that goes into more detail about that. You're okay. That's fine. You might be saying to yourself, Dr. Bricker, that sounds like a lot of money to put that in place. It sounds like a lot of work. And it sounds like a lot of time. And the answer is yes, yes, and yes. And I will tell you that I know that this works because it's exactly what John Torrin has did in the company that solved health care at Serigraph. And yes, it did take a lot of money. And yes, it did take a lot of time. And yes, it did take a lot of work. Now, it more than paid for itself. In fact, I think it paid for itself like 15 fold in terms of the decreased health care costs. So as an employer, just know that whenever you're making a decision to not do these things, you're essentially, whether you realize it or not, you're making a decision to allow this population health mismatch to continue. So I guarantee you that on your plan, you will have situations like this young woman that I described, they will just happen and they will continue to happen. Okay, fine. So that's an ideal world is putting in all of those solutions. And I understand that not all employers are in a place where they'll be able to do that. So what do you do first? Right? How do you prioritize this? I would actually prioritize it backwards. I would prioritize it in the behavior modification first, right? Because so many people these days think about, okay, we've got artificial intelligence and big data analytics that will help, you know, analyze the population. And let's say you solve for that. Let's say you exactly knew where everybody was on that curve. Okay. And then you have physician scorecarding and doing analytics on the provider claims. So let's say you could absolutely map exactly where each provider was on there. At the end of the day, if you can't change this mismatch into that match, which is the behavior modification, if you can't do that, it's all for not, right? It's all just an academic exercise. So using a, either a pilot program approach or starting small and just to say, Hey, what are some ways we can facilitate behavior change in maybe some of the employee population. And this is where the behavior modification is very company specific. And obviously for companies that have highly concentrated employees, like in Sarah, you can do a nearsight, on-site clinic. But for some employers that will never work because they have a highly geographically distributed workforce. I get that. That is okay. I will tell you that other employers that we have worked with, they had like 60 wellness coordination coordinators, and they used those on-site wellness coordinators that were actually, that's not, that wasn't what their job was. Their job was four men, et cetera, but they happened to wear that hat. And that is where those folks became the trusted resource for things, employee benefits related, and all the messaging and all the behavior modification was put out through those 60 people across an organization of like 4,000. And that worked great for them because they were relatively low turnover environment. So they could do that. So for other employers, they've had to use things like, hey, you know what, we're just going to have to use pre-certification in order to do that, or what are considered hard gates. But, so there's more than one way to do this, and there's more than one way that will be appropriate for different employers. But really the take-home message from today is that if you don't start going down this road, that your plan will sort of by its very nature have plan member complexity, provider skill mismatch. And that mismatch is going to be detrimental to your employees, to their families, and to the financial performance of your plan. And thank you for watching a Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:05]  Hello, this is Dr. Eric Bricker and welcome to A Healthcare Z. Today we're going to be discussing
[8:15 - 8:20]  it did take a lot of time. And yes, it did take a lot of work. Now, it more than paid for itself.
[8:20 - 8:25]  In fact, I think it paid for itself like 15 fold in terms of the decreased health care costs. So as an
[8:25 - 8:31]  employer, just know that whenever you're making a decision to not do these things, you're essentially,
[8:31 - 8:36]  whether you realize it or not, you're making a decision to allow this population health mismatch
[8:36 - 8:42]  to continue. So I guarantee you that on your plan, you will have situations like this young
[8:42 - 8:47]  woman that I described, they will just happen and they will continue to happen. Okay, fine.
[8:47 - 8:52]  So that's an ideal world is putting in all of those solutions. And I understand that not all employers
[8:52 - 8:57]  are in a place where they'll be able to do that. So what do you do first? Right? How do you prioritize
[8:57 - 9:03]  this? I would actually prioritize it backwards. I would prioritize it in the behavior modification
[9:03 - 9:09]  first, right? Because so many people these days think about, okay, we've got artificial intelligence
[9:09 - 9:13]  and big data analytics that will help, you know, analyze the population. And let's say you solve for
[9:13 - 9:18]  that. Let's say you exactly knew where everybody was on that curve. Okay. And then you have physician
[9:18 - 9:26]  scorecarding and doing analytics on the provider claims. So let's say you could absolutely map
[9:26 - 9:32]  exactly where each provider was on there. At the end of the day, if you can't change this mismatch
[9:32 - 9:38]  into that match, which is the behavior modification, if you can't do that, it's all for not, right?
[9:38 - 9:45]  It's all just an academic exercise. So using a, either a pilot program approach or starting small
[9:45 - 9:55]  and just to say, Hey, what are some ways we can facilitate behavior change in maybe some of the
[9:55 - 9:59]  employee population. And this is where the behavior modification is very company specific.
[10:00 - 10:04]  And obviously for companies that have highly concentrated employees, like in Sarah, you can
[10:04 - 10:09]  do a nearsight, on-site clinic. But for some employers that will never work because they have a highly
[10:09 - 10:16]  geographically distributed workforce. I get that. That is okay. I will tell you that other employers
[10:16 - 10:22]  that we have worked with, they had like 60 wellness coordination coordinators, and they used those
[10:22 - 10:26]  on-site wellness coordinators that were actually, that's not, that wasn't what their job was. Their job
[10:26 - 10:31]  was four men, et cetera, but they happened to wear that hat. And that is where those folks became the
[10:31 - 10:36]  trusted resource for things, employee benefits related, and all the messaging and all the behavior
[10:36 - 10:43]  modification was put out through those 60 people across an organization of like 4,000. And that worked
[10:43 - 10:50]  great for them because they were relatively low turnover environment. So they could do that. So for other
[10:50 - 10:53]  employers, they've had to use things like, hey, you know what, we're just going to have to use
[10:53 - 10:59]  pre-certification in order to do that, or what are considered hard gates. But, so there's more than
[10:59 - 11:04]  one way to do this, and there's more than one way that will be appropriate for different employers.
[11:05 - 11:12]  But really the take-home message from today is that if you don't start going down this road,
[11:12 - 11:24]  that your plan will sort of by its very nature have plan member complexity, provider skill mismatch.
[11:24 - 11:29]  And that mismatch is going to be detrimental to your employees, to their families, and to the
[11:29 - 11:33]  financial performance of your plan. And thank you for watching a Healthcare Z.
