Title: J.P. Morgan Healthcare Investor Conference Explained
URL: https://www.youtube.com/watch?v=x0alPylkvuk
Author: AHealthcareZ - Healthcare Finance Explained
Language: en

Transcription:
 Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is the J.P. Morgan Healthcare Conference. So if you work in healthcare and healthcare finance, then you have to know about the J.P. Morgan Healthcare Conference because it is essentially the largest, most important conference for healthcare investors. This is where a lot of the money flows in healthcare happen. Now, it happens every January. It's in San Francisco, specifically at the Westin Hotel. And it's not a normal conference like you think of like these things in Las Vegas. Okay, one, it's really for investors. It's an investor conference. It is by invitation only. I'll leave a link in the show note to the official conference website. It's super sparse. It is, quote unquote, for the customers of J.P. Morgan, which there's not some big showroom floor with gobs of booths. It's a little hush hush. And so as a result, what really goes on there is all the unofficial meetings outside of the actual conference because this hotel is kind of small, you can't even fit a lot of people into it. And so what happens is, is that large health insurance carriers, healthcare startups, healthcare technology firms, even not-for-profit hospitals, they all go out there and they meet with bankers and private equity firms and venture capitalist firms, and they make lots of relationships and begin to sow the seeds of financial deals or investments. Now you might ask yourself, well, why would a not-for-profit hospital go to one of these places? Well, not-for-profit hospitals are big in the debt market. So not-for-profit hospitals issue a lot of bonds. They issue a lot of debt. And they need investors to buy their debt, to buy their bonds. So they're going to talk and be present here strategically for the investment community, not from an equity standpoint, but really more from a bond standpoint. Now, we get tremendous insight into the JPMorgan Healthcare Conference from a recent podcast from This Week Health. And you can watch it on YouTube. That's where I watched it. It's hosted by Bill Russell and his guest for this episode was Rob Demache, who is the former CFO of the University of Pittsburgh Medical Center, UPMC, which is, of course, one of the largest, most well-known hospital systems in America. They even have international locations of UPMC. So listen, first of all, thank you to Bill Russell and thank you to Rob Demache for sharing all their information about the JPMorgan Conference. So Rob Demache was there. He took lots of notes and he shared his notes with listeners. It's awesome. I'm just going to give you a synopsis, but go watch the original or listen to the original podcast. It's fantastic. Okay. So Rob Demache talks about the not-for-profit hospital systems that were there and included folks like his alma mater, UPMC, plus Intermountain Health, plus Common Spirit, which is one of the largest hospital systems in America, plus Sutter, which is the huge Northern California hospital system, Baylor, Scott & White, Christiana, Advent, some huge hospital systems across the country. And interestingly, he said sort of the common thread across all these hospital systems were their strategic cost reduction initiatives, right? Because of the huge cost during COVID and the subsequent time, specifically for the agency nurses or the traveling nurses, right? And I've previously talked on A Healthcare Z in terms of how much these hospital systems had to pay on traveling nurses. It just sent their cost through the roof and it also caused them to have to then raise the pay of all their existing nurses and a lot of their other staff as well. So the hospitals are looking now at their costs. They're saying, okay, we have to do something about our overall cost structure because our labor costs have gone up so much. So Advent specifically is doing a $300 million cost reduction initiative and Common Spirit has a $2 billion cost reduction initiative that's going to be phased in over like two or three years. So listen, from an overall healthcare cost standpoint, the reason why employers and brokers and consultants and folks that oftentimes watch A Healthcare Z, the reason why it's important for you to know about this, it's because the biggest chunk of your healthcare spend is for hospital spend. And so in order for your healthcare costs to go down, hospitals need to lower their own cost structure. So they don't just keep on passing on all their high costs to you. So it's actually positive news to hear that hospitals themselves realize that they have bloat that they need to reduce. I think that is a positive development. So I mean, RIA Healthcare Z, we talk about all sorts of negative stuff here. I think that's positive. I think the fact that these major hospital systems are doing cost reduction initiatives on their end. I think it's fantastic. Okay. Now, interestingly, they said that they are, well, how do these major hospital systems are also talking about value-based care and ACO type value-based payment arrangements. So it's not just fee for service based on patient volume, but actually tying payments to things like outcomes or overall, you know, health, as opposed to just paying for a procedure, paying for a test. Now, interestingly, these health plans are, did not talk about starting, excuse me, these hospital systems did not talk about starting their own health insurance company. So that had been talked about previously, but not this year. There did not seem to be any initiatives for hospital systems to start their own health insurance companies, but they're looking to engage in payment arrangements with health insurance companies that are value-based and not on volume. Now, interestingly, one of the major hospital systems, Baylor, Scott & White, right here in Dallas, said that they already get 15% of their revenue from these sort of value-based ACO type payment arrangements. Now, I would argue at the end of the day, that means Baylor, Scott & White is 85% fee for service. What's that called? The vast majority of their revenue. And so Rob Dimashy talks about how these hospitals are having a hard time because they got one foot in the fee for service canoe, and they got another foot in the value-based payment canoe, and they're having a hard time figuring out like how to manage that. Understandably so. Now, sort of conversely, at Rob Dimashy's old employer at UPMC, they own a health insurance company that has been selling health insurance in Western Pennsylvania for a long time. It is very well established. It is a dominant health insurance carrier in Western Pennsylvania. 50% of UPMC's revenue comes from premium from their health insurance plan. Their health insurance plan, with all of the financial challenges, you probably saw the headline about how the Cleveland Clinic lost billions of dollars, right? So the traditional fee-for-service hospital systems have been really struggling financially, whereas the health plan for UPMC actually made $600 million in profit last year, whereas the actual hospital clinical operations of UPMC lost $400 million last year. So it was actually the health plan that is cross-subsidizing the hospital shortcomings financially. So I would argue that the UPMC approach of actually owning a health plan is actually financially highly successful. So it's interesting that UPMC has been successful with it, but these other hospitals, they don't want to go in that direction. And Rob Dimashy, I think, talks about why that is in just a little bit. Okay. So, oh, and here it is. It's because he, he, uh, Rob Dimashy is concerned because he hears a lot of talk from these hospital systems about their vision of moving towards value-based care and their vision of strategic cost reduction. But he said the real issue is going to be in the execution. That's a huge question mark in his mind. So are these big hospital systems actually going to be able to execute on their talk? And he says that, look, going from fee-for-service to value-based care is excruciatingly hard. It took, um, UPMC 25 years to go, to get to where they are now. And he said, look, if you're the CFO of a not-for-profit hospital system, that transition is incredibly difficult. That is super hard. And during this conversation, it's interesting because they talked about like the retirement of hospital CFOs. So Rob Dimashy retired from UPMC. They talked about how the Intermountain CFO, uh, had retired. A couple other CFOs had retired. So arguably, because a lot of these CFOs and a lot of these major hospital systems are advanced in their careers and age, and these initiatives are so difficult and take upwards of 25 years, you can see how there needs to be sort of a new crop of blood, um, to come into these positions to have the longevity and the staying power. And, and to a certain extent, the vigor to be able to carry out these things. So to a certain extent, it'll be interesting to see if there actually, frankly, just needs to be a passing of the torch in not-for-profit hospital system leadership, frankly, from baby boomers to Gen Xers. Like, I hate to say it, but to a certain extent, people in my generation need to be taking the torch and carrying this out. And, you know, I'm not trying to be an ageist here. Sure, there are baby boomers that can do this, but it'll be interesting to see if the torch passing is a prerequisite to actually making the execution happen. Okay. Then finally, on the carrier side, Rob Dimashy was like, look, the carriers have basically decided that they are becoming providers. Okay. So there's going to be increased competition from the health insurance carriers with the not-for-profit hospital systems because the carriers have just decided we're going to provide care. He referred to it as a fait accompli. It is a done deal, right? So it was stark in contrast in Rob Dimashy's mind how the insurance carriers have like decided it and they've executed on it, whereas the hospital systems are still kind of talking about it. And he says, look, the root of that is that because COVID was such a financial hit to the hospitals and it was so all-consuming from an operational perspective, they just haven't had the money or the bandwidth to deal with anything else. Meanwhile, the insurance carriers had the time and the money during COVID to put in place all these provider advancement, provider initiatives of becoming a provider. This whole quote unquote pay-vider idea. Well, the payers are becoming the providers, but the providers certainly have not become the payers nearly to the extent. So the not-for-profit hospital systems are way behind in Mr. Dimashy's opinion. So I think that the take-home points for employer-sponsored health plans or just people that work in the healthcare ecosystem are that look, it's important to be aware of the JP Morgan conference. It's important to gather as much information from that conference by either going out there and just like, I mean, people literally like rent out tables. You got to pay like a thousand bucks an hour for a table in a hotel just so you can have these meetings or, you know, dinners, et cetera, et cetera. So if you just want to like meet people, you just go out there. Don't wait for an invitation because you're not going to get one. And then if you're not going to go out there, then make sure that you're plugged into people that are going out there and they're talking about it and they're making videos and they're doing podcasts about it. And I think going forward, you're going to learn a lot more about the money flows in healthcare if you do that. And that's my point for today. Thank you for watching A Healthcare Z.

Detailed segments with timestamps:

[0:00 - 0:06]  Hello, this is Dr. Eric Bricker and thank you for watching A Healthcare Z. Today's topic is
[8:39 - 8:46]  and age, and these initiatives are so difficult and take upwards of 25 years, you can see how there
[8:46 - 8:53]  needs to be sort of a new crop of blood, um, to come into these positions to have the longevity and
[8:53 - 9:01]  the staying power. And, and to a certain extent, the vigor to be able to carry out these things. So
[9:01 - 9:05]  to a certain extent, it'll be interesting to see if there actually, frankly, just needs to be a
[9:05 - 9:12]  passing of the torch in not-for-profit hospital system leadership, frankly, from baby boomers to
[9:12 - 9:19]  Gen Xers. Like, I hate to say it, but to a certain extent, people in my generation need to be taking the
[9:19 - 9:24]  torch and carrying this out. And, you know, I'm not trying to be an ageist here. Sure, there are baby
[9:24 - 9:31]  boomers that can do this, but it'll be interesting to see if the torch passing is a prerequisite to
[9:31 - 9:37]  actually making the execution happen. Okay. Then finally, on the carrier side, Rob Dimashy was like,
[9:37 - 9:44]  look, the carriers have basically decided that they are becoming providers. Okay. So there's going to be
[9:44 - 9:48]  increased competition from the health insurance carriers with the not-for-profit hospital systems
[9:48 - 9:52]  because the carriers have just decided we're going to provide care. He referred to it as a fait
[9:52 - 10:01]  accompli. It is a done deal, right? So it was stark in contrast in Rob Dimashy's mind how the
[10:01 - 10:06]  insurance carriers have like decided it and they've executed on it, whereas the hospital systems are
[10:06 - 10:11]  still kind of talking about it. And he says, look, the root of that is that because COVID was such a
[10:11 - 10:18]  financial hit to the hospitals and it was so all-consuming from an operational perspective,
[10:18 - 10:22]  they just haven't had the money or the bandwidth to deal with anything else. Meanwhile, the insurance
[10:22 - 10:27]  carriers had the time and the money during COVID to put in place all these provider advancement,
[10:28 - 10:33]  provider initiatives of becoming a provider. This whole quote unquote pay-vider idea. Well,
[10:34 - 10:38]  the payers are becoming the providers, but the providers certainly have not become the payers
[10:38 - 10:45]  nearly to the extent. So the not-for-profit hospital systems are way behind in Mr. Dimashy's opinion.
[10:45 - 10:51]  So I think that the take-home points for employer-sponsored health plans or just people
[10:51 - 10:56]  that work in the healthcare ecosystem are that look, it's important to be aware of the JP Morgan
[10:56 - 11:01]  conference. It's important to gather as much information from that conference by either going
[11:01 - 11:05]  out there and just like, I mean, people literally like rent out tables. You got to pay like a thousand
[11:05 - 11:11]  bucks an hour for a table in a hotel just so you can have these meetings or, you know, dinners,
[11:11 - 11:15]  et cetera, et cetera. So if you just want to like meet people, you just go out there. Don't wait
[11:15 - 11:20]  for an invitation because you're not going to get one. And then if you're not going to go out there,
[11:20 - 11:25]  then make sure that you're plugged into people that are going out there and they're talking about it
[11:25 - 11:28]  and they're making videos and they're doing podcasts about it. And I think going forward,
[11:29 - 11:32]  you're going to learn a lot more about the money flows in healthcare if you do that.
[11:32 - 11:35]  And that's my point for today. Thank you for watching A Healthcare Z.
